Country/Region,Lat,Long,Confirmed,Deaths,Recovered,Active,WHO Region
Madagascar,-18.766947,46.869107,0,0,0,0,Africa
Malaysia,4.210484,101.975766,0,0,0,0,Western Pacific
Maldives,3.2028,73.2207,0,0,0,0,South-East Asia
Malta,35.9375,14.3754,0,0,0,0,Europe
Mauritania,21.0079,-10.9408,0,0,0,0,Africa
Mauritius,-20.348404,57.552152,0,0,0,0,Africa
Mexico,23.6345,-102.5528,0,0,0,0,Americas
Moldova,47.4116,28.3699,0,0,0,0,Europe
Monaco,43.7333,7.4167,0,0,0,0,Europe
Mongolia,46.8625,103.8467,0,0,0,0,Western Pacific
Montenegro,42.708678,19.37439,0,0,0,0,Europe
Morocco,31.7917,-7.0926,0,0,0,0,Eastern Mediterranean
Namibia,-22.9576,18.4904,0,0,0,0,Africa
Nepal,28.1667,84.25,0,0,0,0,South-East Asia
Netherlands,12.5211,-69.9683,0,0,0,0,Europe
Netherlands,12.1696,-68.99,0,0,0,0,Europe
Netherlands,18.0425,-63.0548,0,0,0,0,Europe
Netherlands,52.1326,5.2913,0,0,0,0,Europe
New Zealand,-40.9006,174.886,0,0,0,0,Western Pacific
Nicaragua,12.865416,-85.207229,0,0,0,0,Americas
Niger,17.607789,8.081666,0,0,0,0,Africa
Nigeria,9.082,8.6753,0,0,0,0,Africa
North Macedonia,41.6086,21.7453,0,0,0,0,Europe
Norway,60.472,8.4689,0,0,0,0,Europe
Oman,21.512583,55.923255,0,0,0,0,Eastern Mediterranean
Pakistan,30.3753,69.3451,0,0,0,0,Eastern Mediterranean
Panama,8.538,-80.7821,0,0,0,0,Americas
Papua New Guinea,-6.314993,143.95555,0,0,0,0,Western Pacific
Paraguay,-23.4425,-58.4438,0,0,0,0,Americas
Peru,-9.19,-75.0152,0,0,0,0,Americas
Philippines,12.879721,121.774017,0,0,0,0,Western Pacific
Poland,51.9194,19.1451,0,0,0,0,Europe
Portugal,39.3999,-8.2245,0,0,0,0,Europe
Qatar,25.3548,51.1839,0,0,0,0,Eastern Mediterranean
Romania,45.9432,24.9668,0,0,0,0,Europe
Russia,61.52401,105.318756,0,0,0,0,Europe
Rwanda,-1.9403,29.8739,0,0,0,0,Africa
Saint Lucia,13.9094,-60.9789,0,0,0,0,Americas
Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,0,Americas
San Marino,43.9424,12.4578,0,0,0,0,Europe
Saudi Arabia,23.885942,45.079162,0,0,0,0,Eastern Mediterranean
Senegal,14.4974,-14.4524,0,0,0,0,Africa
Serbia,44.0165,21.0059,0,0,0,0,Europe
Seychelles,-4.6796,55.492,0,0,0,0,Africa
Singapore,1.2833,103.8333,1,0,0,1,Western Pacific
Slovakia,48.669,19.699,0,0,0,0,Europe
Slovenia,46.1512,14.9955,0,0,0,0,Europe
Somalia,5.152149,46.199616,0,0,0,0,Eastern Mediterranean
South Africa,-30.5595,22.9375,0,0,0,0,Africa
Spain,40.463667,-3.74922,0,0,0,0,Europe
Sri Lanka,7.873054,80.771797,0,0,0,0,South-East Asia
Sudan,12.8628,30.2176,0,0,0,0,Eastern Mediterranean
Suriname,3.9193,-56.0278,0,0,0,0,Americas
Sweden,60.128161,18.643501,0,0,0,0,Europe
Switzerland,46.8182,8.2275,0,0,0,0,Europe
Taiwan*,23.7,121,1,0,0,1,Western Pacific
Tanzania,-6.369028,34.888822,0,0,0,0,Africa
Thailand,15.870032,100.992541,3,0,0,3,South-East Asia
Togo,8.6195,0.8248,0,0,0,0,Africa
Trinidad and Tobago,10.6918,-61.2225,0,0,0,0,Americas
Tunisia,33.886917,9.537499,0,0,0,0,Eastern Mediterranean
Turkey,38.9637,35.2433,0,0,0,0,Europe
Uganda,1.373333,32.290275,0,0,0,0,Africa
Ukraine,48.3794,31.1656,0,0,0,0,Europe
United Arab Emirates,23.424076,53.847818,0,0,0,0,Eastern Mediterranean
United Kingdom,32.3078,-64.7505,0,0,0,0,Europe
United Kingdom,19.3133,-81.2546,0,0,0,0,Europe
United Kingdom,49.3723,-2.3644,0,0,0,0,Europe
United Kingdom,36.1408,-5.3536,0,0,0,0,Europe
United Kingdom,54.2361,-4.5481,0,0,0,0,Europe
